,brand,ram_gb,storage_gb,expandable_storage,battery_type,battery_mah,rear_camera_mp,front_camera_mp,rear_camera_count,rating,reviews,price,display_inch,processor_family,warranty_months
374,Realme,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,76,16.0,4,4.5,8761.0,19999,6.4,Other,
375,Redmi,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,53,13.0,2,4.4,25217.0,12999,6.3,Snapdragon,
376,Mi,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4030.0,58,32.0,3,4.3,2994.0,12999,6.088,Snapdragon,12.0
377,Redmi,6 GB RAM,64 GB ROM,,standard battery,5020.0,64,,1,4.9,3.0,18990,6.67,,12.0
378,Vivo,8 GB RAM,128 GB ROM,,lithium-ion battery,4200.0,74,32.0,4,4.4,24.0,34990,6.56,Snapdragon,
379,Micromax,3 GB RAM,32 GB ROM,,standard battery,4000.0,13,,1,3.8,94.0,8189,5.7,,12.0
380,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,6000.0,48,16.0,1,4.3,299.0,14082,6.4,Exynos,12.0
381,Redmi,4 GB RAM,64 GB ROM,,standard battery,4000.0,48,,1,4.4,1243.0,11540,6.3,,12.0
382,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-ion battery,4500.0,60,32.0,4,4.5,680.0,24990,6.44,Snapdragon,
383,Realme,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,24,13.0,4,4.4,29669.0,11999,6.5,Snapdragon,
384,Samsung,3 GB RAM,32 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4000.0,15,5.0,2,4.2,434.0,9929,5.7,Snapdragon,12.0
385,Samsung,8 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4500.0,86,32.0,4,4.4,206.0,33999,6.7,Other,12.0
386,Vivo,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,lithium polymer battery,4500.0,26,32.0,3,4.4,176.0,18990,6.38,Mediatek,12.0
387,LG,3 GB RAM,64 GB ROM,,standard battery,3500.0,16,,1,4.1,2.0,13289,6.26,,12.0
388,Vivo,8 GB RAM,128 GB ROM,,li-ion battery,4100.0,71,32.0,4,4.5,598.0,29499,6.44,Snapdragon,12.0
389,Huawei,6 GB RAM,128 GB ROM,,yes battery,3340.0,34,32.0,3,4.0,0.0,19999,6.15,Kirin,12.0
390,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4000.0,38,25.0,3,4.3,5976.0,15499,6.4,Exynos,
391,Nokia,3 GB RAM,32 GB ROM,Expandable Upto 400 GB,standard battery,4000.0,13,5.0,1,4.1,91.0,10990,6.26,Snapdragon,12.0
392,Itel,1 GB RAM,8 GB ROM,Expandable Upto 32 GB,standard battery,2050.0,2,0.0,1,4.1,8.0,4049,5.0,,12.0
393,Itel,1 GB RAM,8 GB ROM,,standard battery,2050.0,2,,1,4.1,8.0,4049,5.0,,12.0
394,Itel,1 GB RAM,8 GB ROM,Expandable Upto 32 GB,standard battery,2050.0,2,0.0,1,4.1,8.0,4990,5.0,ARM,12.0
395,Itel,1 GB RAM,8 GB ROM,Expandable Upto 32 GB,standard battery,2050.0,2,0.0,1,4.1,8.0,4999,5.0,ARM,12.0
396,Vivo,4 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-ion battery,4030.0,15,8.0,2,4.4,285.0,12990,6.22,Mediatek,12.0
397,OPPO,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4025.0,87,44.0,4,4.4,216.0,27990,6.4,Mediatek,
398,OPPO,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4025.0,87,44.0,4,4.4,216.0,27990,6.4,Mediatek,
399,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,13.0,2,4.4,25616.0,8499,6.22,Mediatek,
400,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,13.0,2,4.4,25616.0,8499,6.22,Mediatek,
401,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,13.0,2,4.4,6417.0,10499,6.22,Mediatek,
402,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 128 GB,li polymer battery,4000.0,17,20.0,2,4.5,123821.0,12999,5.99,Snapdragon,12.0
403,OPPO,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4020.0,53,16.0,2,4.4,7590.0,13990,6.53,Mediatek,12.0
404,OPPO,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4020.0,53,16.0,2,4.4,341.0,15990,6.53,Mediatek,12.0
405,OPPO,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4020.0,53,16.0,2,4.4,7590.0,13990,6.53,Mediatek,12.0
406,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,3000.0,12,8.0,1,4.6,3587.0,49990,5.8,Exynos,12.0
407,Redmi,3 GB RAM,32 GB ROM,Expandable Upto 512 GB,standard battery,4000.0,14,32.0,2,4.3,1505.0,8252,6.26,Snapdragon,12.0
408,LG,6 GB RAM,128 GB ROM,Expandable Upto 2 TB,standard battery,4000.0,25,32.0,2,4.6,2.0,54990,6.4,Snapdragon,12.0
409,Redmi,6 GB RAM,128 GB ROM,,li-polymer battery,4000.0,69,20.0,3,4.5,5085.0,21999,6.39,Snapdragon,12.0
410,Redmi,3 GB RAM,32 GB ROM,Expandable Upto 128 GB,li-polymer battery,3000.0,13,5.0,1,4.4,65375.0,6498,5.0,Snapdragon,12.0
411,Vivo,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion battery,5000.0,23,8.0,3,4.4,320.0,12990,6.35,Snapdragon,
412,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,76,16.0,4,4.5,8654.0,17999,6.4,Other,
